stockid,stockname,date,BV
600036.SH,招商银行,20071231,6798400
600036.SH,招商银行,20070930,6294600
600036.SH,招商银行,20070630,5923600
600036.SH,招商银行,20070331,5731100
600036.SH,招商银行,20061231,5516052.4
600036.SH,招商银行,20060930,5089503.1
600036.SH,招商银行,20060630,3274276.2
600036.SH,招商银行,20060331,3240471.3
600036.SH,招商银行,20051231,2599746.8
600036.SH,招商银行,20050930,2355620.3
600036.SH,招商银行,20050630,2226239.8
600036.SH,招商银行,20050331,2193577.1
600036.SH,招商银行,20041231,2088095
600036.SH,招商银行,20040930,2026980.1
600036.SH,招商银行,20040630,1942638
600036.SH,招商银行,20040331,1854660.3
600036.SH,招商银行,20031231,1826143.8
600036.SH,招商银行,20030930,1771918.8
600036.SH,招商银行,20030630,1714015
600036.SH,招商银行,20030331,1658768.6
600036.SH,招商银行,20021231,1603182.1
600036.SH,招商银行,20020930,1652210
600036.SH,招商银行,20020630,1610114.3
600036.SH,招商银行,20020331,1552354.4
600036.SH,招商银行,20011231,511643.6
600036.SH,招商银行,20001231,368531.6
600036.SH,招商银行,19991231,288150.4
601009.SH,南京银行,20140930,3097684.4
601009.SH,南京银行,20140630,2947615.3
601009.SH,南京银行,20140331,2873407.37
601009.SH,南京银行,20131231,2685613.4
601009.SH,南京银行,20130930,2664350.56
601009.SH,南京银行,20130630,2606178.5
601009.SH,南京银行,20130331,2614031.37
601009.SH,南京银行,20121231,2481075.4
601009.SH,南京银行,20120930,2383706.52
601009.SH,南京银行,20120630,2330506.8
601009.SH,南京银行,20120331,2281306.53
601009.SH,南京银行,20111231,2180426.9
601009.SH,南京银行,20110930,2056929.38
601009.SH,南京银行,20110630,1990296.3
601009.SH,南京银行,20110331,1974934.65
601009.SH,南京银行,20101231,1897039.9
601009.SH,南京银行,20100930,1385141.24
601009.SH,南京银行,20100630,1322486.64
601009.SH,南京银行,20100331,1282982.43
601009.SH,南京银行,20091231,1216820.83
601009.SH,南京银行,20090930,1185232.49
601009.SH,南京银行,20090630,1148082.88
601009.SH,南京银行,20090331,1171035.43
601009.SH,南京银行,20081231,1134559.46
601009.SH,南京银行,20080930,1075130
601009.SH,南京银行,20080630,1018794.74
601009.SH,南京银行,20080331,1043345.62
601009.SH,南京银行,20071231,994246.31
601009.SH,南京银行,20070930,973580.53
601009.SH,南京银行,20070630,273511.04
601009.SH,南京银行,20061231,261113.58
601009.SH,南京银行,20051231,210427.5
601009.SH,南京银行,20041231,166502.6
601009.SH,南京银行,20031231,131761.78
601009.SH,南京银行,20021231,123258.34
601166.SH,兴业银行,20140930,23691600
601166.SH,兴业银行,20140630,22325600
601166.SH,兴业银行,20140331,21743400
601166.SH,兴业银行,20131231,20117100
601166.SH,兴业银行,20130930,19581000
601166.SH,兴业银行,20130630,18556000
601166.SH,兴业银行,20130331,18246200
601166.SH,兴业银行,20121231,17063500
601166.SH,兴业银行,20120930,13887900
601166.SH,兴业银行,20120630,13065700
601166.SH,兴业银行,20120331,12486000
601166.SH,兴业银行,20111231,11607800
601166.SH,兴业银行,20110930,10728400
601166.SH,兴业银行,20110630,10157400
601166.SH,兴业银行,20110331,9749104.75
601166.SH,兴业银行,20101231,9199528.73
601166.SH,兴业银行,20100930,8890740.45
601166.SH,兴业银行,20100630,8392148.61
601166.SH,兴业银行,20100331,6170851.1
601166.SH,兴业银行,20091231,5959746.16
601166.SH,兴业银行,20090930,5584778.86
601166.SH,兴业银行,20090630,5309119.82
601166.SH,兴业银行,20090331,5199214.61
