stockid,date,asset,equity,loan,deposit
600016,20140930,376934112,24080300,175096896,239768992
600036,19991231,15660640,288150.4063,8283504,12226798
600036,20001231,21950798,368531.5938,10974288,16446557
600036,20011231,26631716,511643.5938,14018548,21429844
600036,20020331,31772662,1552354.375,17713970.01,24913512.47
600036,20020630,31313710,1610114.25,17458094,24553640
600036,20020930,33432188,1652210,18614235.98,27021636.98
600036,20021231,37165992,1603182.125,20693128,30039492
600036,20030331,38914204,1658768.625,23578634.94,31115710.88
600036,20030630,43583428,1714015,26407780,34849212
600036,20030930,44271864,1771918.75,27015102.02,35748862.8
600036,20031231,50389280,1826143.75,30748006,40688584
600036,20040331,51068352,1854660.25,32572969.59,41872045.45
600036,20040630,53886244,1942638,34370308,44182496
600036,20040930,56634668,2026980.125,35319514.32,48161598.87
600036,20041231,60276548,2088095,37590728,51258620
600036,20050331,63003520,2193577,42467717.09,54969232.91
600036,20050630,67142320,2226239.75,45257488,58580248
600036,20050930,70344536,2355620.25,45215154.32,60748763.44
600036,20051231,73461288,2599746.75,47218500,63440356
600036,20060331,76576024,3240471.25,49381595.86,65362142.94
600036,20060630,82431584,3274276.25,53157672,70360208
600036,20060930,87400912,5089503,52930924.56,72397932.55
600036,20061231,93410224,5516052.5,56570228,77375704
600036,20070331,98469296,5731100,55909977.04,75005515.75
600036,20070630,110877600,5923600,62955300,84457104
600036,20070930,121936600,6294600,62632921.16,87788449.4
600036,20071231,131055200,6798400,67316704,94353400
600036,20080331,137378592,7476200,73095171.28,103012558.5
600036,20080630,139579104,7749600,74266000,104662600
600036,20080930,154724896,9001200,86070639.5,123111563.8
600036,20081231,157179696,7978100,87436200,125064800
600036,20090331,180083904,8217100,105175438.1,140640975
600036,20090630,197276800,8418500,115216704,154068192
600036,20090930,201690096,8750500,115655406.8,156845437.7
600036,20091231,206794096,9278300,118582200,160814592
600036,20100331,219927504,11821400,128225250.5,168851702.5
600036,20100630,228248192,12484100,133076496,175240000
600036,20100930,235956400,13310800,140586490.9,186326726.5
600036,20101231,240250704,13400600,143145104,189717792
600036,20110331,258472304,14277700,152039163.3,204645500.8
600036,20110630,264320496,14543200,155479200,209275808
600036,20110930,263327808,15384800,154613665.6,209162656.3
600036,20111231,279497088,16501000,164107504,222006000
600036,20120331,296357888,17727300,159109627.5,219094092
600036,20120630,332270112,18136200,178390304,245643600
600036,20120930,314461792,19095400,175722853.5,233666013.3
600036,20121231,340809888,20040100,190446304,253244400
600036,20130331,351342592,21455700,193444223.4,257938583.6
600036,20130630,381062912,21249800,209807808,279757792
600036,20130930,388537216,25727400,212541833.8,268473839.9
600036,20131231,401639904,26595600,219709408,277527616
600036,20140331,440454912,28384200,211960356.9,299354029.9
600036,20140630,503312192,28636400,242209200,342074816
600036,20140930,472264800,30239800,133238944.5,252606112.5
601009,20021231,2625857.75,123258.3438,740827,1404525
601009,20031231,2958244.25,131761.7813,1242583.25,2282633
601009,20041231,3827165.75,166502.5938,1564770.5,2834581.25
601009,20051231,4859326.5,210427.5,2006795.625,3585915
601009,20061231,5796730.5,261113.5781,2550499.75,4385815.5
601009,20070630,7546469,273511.0313,3009484.5,5016831.5
601009,20070930,8059095,973580.5,3245226.072,5396292.644
601009,20071231,7606371,994246.3125,3062923.75,5093153
601009,20080331,8713707,1043345.625,3333792.05,5460693.502
601009,20080630,9004577,1018794.75,3445076.5,5642975.5
601009,20080930,9496072,1075130,4071749.952,6357090.823
601009,20081231,9370607,1134559.5,4017952.75,6273099
601009,20090331,11233103,1171035.375,5199424.002,8158016.133
601009,20090630,12969999,1148082.875,6003374.5,9419433
