stockid,stockname,date,asset,equity
600036.SH,招商银行,20060331,76576023.3,3240471.3
600036.SH,招商银行,20051231,73461286.4,2599746.8
600036.SH,招商银行,20050930,70344538,2355620.3
600036.SH,招商银行,20050630,67142318.5,2226239.8
600036.SH,招商银行,20050331,63003518.4,2193577.1
600036.SH,招商银行,20041231,60276548.7,2088095
600036.SH,招商银行,20040930,56634669.9,2026980.1
600036.SH,招商银行,20040630,53886244.5,1942638
600036.SH,招商银行,20040331,51068353.4,1854660.3
600036.SH,招商银行,20031231,50389281,1826143.8
600036.SH,招商银行,20030930,44271865.3,1771918.8
600036.SH,招商银行,20030630,43583429.8,1714015
600036.SH,招商银行,20030331,38914202.8,1658768.6
600036.SH,招商银行,20021231,37165991.2,1603182.1
600036.SH,招商银行,20020930,33432188.9,1652210
600036.SH,招商银行,20020630,31313709.8,1610114.3
600036.SH,招商银行,20020331,31772662.3,1552354.4
600036.SH,招商银行,20011231,26631715.5,511643.6
600036.SH,招商银行,20001231,21950798.8,368531.6
600036.SH,招商银行,19991231,15660639.6,288150.4
601009.SH,南京银行,20140930,54628717.21,3097684.4
601009.SH,南京银行,20140630,51373287.6,2947615.3
601009.SH,南京银行,20140331,50416418.61,2873407.37
601009.SH,南京银行,20131231,43405729.3,2685613.4
601009.SH,南京银行,20130930,42609970.92,2664350.56
601009.SH,南京银行,20130630,41002065.3,2606178.5
601009.SH,南京银行,20130331,39051867.63,2614031.37
601009.SH,南京银行,20121231,34379215.4,2481075.4
601009.SH,南京银行,20120930,33258968.69,2383706.52
601009.SH,南京银行,20120630,33428079.8,2330506.8
601009.SH,南京银行,20120331,30788547.41,2281306.53
601009.SH,南京银行,20111231,28179169.4,2180426.9
601009.SH,南京银行,20110930,26321439.37,2056929.38
601009.SH,南京银行,20110630,26373923,1990296.3
601009.SH,南京银行,20110331,24088841.06,1974934.65
601009.SH,南京银行,20101231,22149260.3,1897039.9
601009.SH,南京银行,20100930,19856917.23,1385141.24
601009.SH,南京银行,20100630,19615723.43,1322486.64
601009.SH,南京银行,20100331,17371952.84,1282982.43
601009.SH,南京银行,20091231,14956581.81,1216820.83
601009.SH,南京银行,20090930,14656643.46,1185232.49
