stockid,stockname,date,revenue,interestincome,interestexpense,noninterestexpense,adminexpense
600000.SH,浦发银行,20070930,"1,831,035.83 ","2,731,025.68 ","1,000,389.59 ","29,967.05 ","617,203.52 "
600000.SH,浦发银行,20070630,"1,161,289.53 ","1,722,634.82 ","617,721.31 ","18,251.33 ","356,379.19 "
600000.SH,浦发银行,20070331,"528,508.16 ","792,693.64 ","285,298.06 ","8,045.17 ","179,851.12 "
600000.SH,浦发银行,20061231,"1,892,707.53 ","2,843,074.02 ","1,064,799.84 ","32,263.65 ","763,750.99 "
600000.SH,浦发银行,20060930,"1,343,827.78 ","2,068,203.16 ","798,505.16 ","23,432.38 ","491,812.20 "
600000.SH,浦发银行,20060630,"861,054.65 ","1,336,608.07 ","519,488.19 ","14,449.33 ","311,620.07 "
600000.SH,浦发银行,20060331,"407,967.97 ","637,713.71 ","248,953.81 ","5,834.83 ","145,288.57 "
600000.SH,浦发银行,20051231,"1,456,840.30 ","2,265,399.86 ","874,101.39 ","19,770.56 ","575,846.90 "
600000.SH,浦发银行,20050930,"1,565,295.44 ","1,544,859.52 ",0.00 ,"13,266.06 ",0.00 
600000.SH,浦发银行,20050630,"1,030,395.73 ","1,022,151.85 ",0.00 ,"7,706.79 ",0.00 
600000.SH,浦发银行,20050331,"501,533.17 ","651,333.61 ","157,208.80 ","2,979.61 ","102,973.12 "
600000.SH,浦发银行,20041231,"1,141,154.50 ","1,607,798.66 ","670,209.98 ","10,058.91 ","443,147.62 "
600000.SH,浦发银行,20040930,"1,212,251.67 ","1,193,664.45 ",0.00 ,"6,538.62 ",0.00 
600000.SH,浦发银行,20040630,"782,299.73 ","770,492.32 ",0.00 ,"4,143.26 ",0.00 
600000.SH,浦发银行,20040331,"372,898.71 ","366,091.39 ",0.00 ,"1,621.01 ",0.00 
600000.SH,浦发银行,20031231,"856,736.27 ","1,144,582.73 ","487,090.77 ","5,966.22 ","336,826.53 "
600000.SH,浦发银行,20030930,"850,034.34 ","835,715.62 ",0.00 ,"3,878.25 ",0.00 
600000.SH,浦发银行,20030630,"539,078.21 ","530,459.31 ",0.00 ,"2,696.52 ",0.00 
600000.SH,浦发银行,20030331,"243,544.04 ","240,292.71 ",0.00 ,"1,186.53 ",0.00 
600000.SH,浦发银行,20021231,"611,923.54 ","772,137.99 ","327,075.94 ","6,473.94 ","258,952.81 "
600000.SH,浦发银行,20020930,"568,361.49 ","558,495.80 ",0.00 ,"4,533.10 ",0.00 
600000.SH,浦发银行,20020630,"258,960.81 ","335,191.65 ","149,420.21 ","3,254.53 ","102,158.14 "
600000.SH,浦发银行,20020331,"108,061.60 ","171,630.50 ","73,163.60 ","1,014.80 ","44,225.00 "
600000.SH,浦发银行,20011231,"419,181.30 ","654,283.30 ","294,002.40 ","5,334.70 ","165,655.20 "
600000.SH,浦发银行,20010930,"285,922.92 ","461,863.93 ","219,935.99 ","4,011.82 ","109,581.91 "
600000.SH,浦发银行,20010630,"182,079.27 ","297,823.90 ","139,363.61 ","2,011.78 ","68,308.61 "
600000.SH,浦发银行,20001231,"339,483.90 ","491,091.30 ","225,269.78 ","4,804.37 ","133,299.54 "
600000.SH,浦发银行,20000630,"165,118.69 ","230,013.43 ","105,598.23 ","1,947.31 ","60,223.61 "
600000.SH,浦发银行,19991231,"286,554.09 ","406,698.22 ","211,182.62 ","5,109.06 ","117,426.69 "
600000.SH,浦发银行,19990630,"196,846.80 ","196,323.90 ",0.00 ,"2,748.50 ",0.00 
600000.SH,浦发银行,19981231,"299,103.50 ","502,143.90 ","248,262.50 ","3,754.60 ","110,324.30 "
600000.SH,浦发银行,19971231,"266,836.60 ","530,128.60 ","302,404.10 ","3,961.90 ","94,004.70 "
600000.SH,浦发银行,19961231,"219,532.30 ","427,756.70 ","230,633.20 ","3,189.60 ","69,929.00 "
600015.SH,华夏银行,20140930,"4,081,900.00 ","7,019,600.00 ","3,593,400.00 ","60,900.00 ","1,526,000.00 "
600015.SH,华夏银行,20140630,"2,637,700.00 ","4,591,600.00 ","2,385,000.00 ","37,500.00 ","998,500.00 "
600015.SH,华夏银行,20140331,"1,226,200.00 ","2,231,600.00 ","1,198,800.00 ","17,200.00 ","483,400.00 "
