stockid,stockname,date,lag_close,open,high,low,close,volume,amount
881001.WI,万得全A,20131120,2384.0799,2393.2601,2401.5114,2377.3395,2401.5114,21683110697,2.11E+11
881001.WI,万得全A,20131121,2401.5114,2391.191,2394.9423,2368.372,2390.2674,24514521294,2.39E+11
881001.WI,万得全A,20131122,2390.2674,2392.9275,2397.5259,2373.5789,2378.9506,21197493568,2.07E+11
881001.WI,万得全A,20131125,2378.9506,2370.4718,2399.0724,2364.8094,2374.629,19827452145,1.98E+11
881001.WI,万得全A,20131126,2374.629,2372.8904,2385.2554,2366.4967,2377.4093,18542077002,1.85E+11
881001.WI,万得全A,20131127,2377.4093,2376.0183,2409.7801,2374.0245,2407.2912,21190016900,2.21E+11
881001.WI,万得全A,20131128,2407.2912,2411.3042,2446.931,2410.5508,2429.3073,24643409680,2.49E+11
881001.WI,万得全A,20131129,2429.3073,2431.1405,2441.8753,2426.9904,2440.4994,21023788469,2.28E+11
881001.WI,万得全A,20131202,2440.4994,2400.915,2431.3304,2346.0884,2365.4345,30886552928,3.04E+11
881001.WI,万得全A,20131203,2365.4345,2350.2661,2403.0044,2346.6611,2399.0027,20849596549,2.12E+11
881001.WI,万得全A,20131204,2399.0027,2395.4942,2448.3983,2392.2623,2432.0318,27335553371,2.68E+11
881001.WI,万得全A,20131205,2432.0318,2431.7475,2437.5995,2416.2505,2423.7281,22373004618,2.21E+11
881001.WI,万得全A,20131206,2423.7281,2418.7781,2427.2246,2404.6429,2412.1374,18909674404,1.87E+11
881001.WI,万得全A,20131209,2412.1374,2418.8603,2428.3187,2414.1178,2424.1307,17529344882,1.81E+11
881001.WI,万得全A,20131210,2424.1307,2427.9396,2436.9684,2415.8544,2426.4633,20069117975,1.97E+11
881001.WI,万得全A,20131211,2426.4633,2417.1786,2417.1786,2379.5461,2394.6219,19447928196,1.88E+11
881001.WI,万得全A,20131212,2394.6219,2389.7368,2413.9872,2389.7368,2400.9593,16276791106,1.67E+11
881001.WI,万得全A,20131213,2400.9593,2385.4844,2410.5477,2380.2139,2403.7957,16217543169,1.63E+11
881001.WI,万得全A,20131216,2403.7957,2405.6467,2408.3962,2364.2906,2366.6506,18745459146,1.87E+11
881001.WI,万得全A,20131217,2366.6506,2366.3023,2371.2967,2345.9725,2353.2907,14903261105,1.49E+11
881001.WI,万得全A,20131218,2353.2907,2353.4571,2364.614,2344.7948,2351.9716,12606958634,1.29E+11
881001.WI,万得全A,20131219,2351.9716,2358.5222,2366.7995,2328.3964,2329.1738,13801393479,1.38E+11
881001.WI,万得全A,20131220,2329.1738,2329.8009,2335.907,2283.2736,2287.2174,15526804017,1.50E+11
881001.WI,万得全A,20131223,2287.2174,2289.2297,2297.0287,2258.5791,2287.0727,12863322340,1.30E+11
881001.WI,万得全A,20131224,2287.0727,2291.2188,2319.4292,2279.5966,2298.8668,13338117038,1.39E+11
881001.WI,万得全A,20131225,2298.8668,2300.7386,2324.087,2292.8674,2324.0864,13466753478,1.45E+11
881001.WI,万得全A,20131226,2324.0864,2321.3438,2322.0505,2282.2335,2283.058,15475002136,1.61E+11
881001.WI,万得全A,20131227,2283.058,2282.844,2330.6142,2281.3962,2322.4409,15439967321,1.60E+11
881001.WI,万得全A,20131230,2322.4409,2332.0936,2336.7019,2320.6732,2326.2586,15328767687,1.59E+11
881001.WI,万得全A,20131231,2326.2586,2317.8968,2345.2684,2313.4636,2344.197,15482814553,1.61E+11
881001.WI,万得全A,20140102,2344.197,2338.9606,2350.5712,2332.3127,2350.4008,14461926765,1.58E+11
881001.WI,万得全A,20140103,2350.4008,2342.9406,2345.6973,2319.2418,2328.8088,17263837600,1.83E+11
881001.WI,万得全A,20140106,2328.8088,2323.8088,2323.8088,2266.2722,2270.512,17908193805,1.78E+11
881001.WI,万得全A,20140107,2270.512,2257.4271,2283.1173,2252.9295,2279.1594,13373905782,1.39E+11
881001.WI,万得全A,20140108,2279.1594,2282.0711,2305.7681,2275.6202,2289.1021,15739784594,1.74E+11
881001.WI,万得全A,20140109,2289.1021,2284.898,2305.1068,2261.0344,2261.7393,16434079792,1.80E+11
881001.WI,万得全A,20140110,2261.7393,2255.0614,2261.2739,2227.9635,2233.5439,14983308195,1.47E+11
