stockid,stockname,date,asset,asset,equity,eta
600015.SH,华夏银行,20111231,124414118.2,18.63912622,6393012.29,0.051384942
600015.SH,华夏银行,20110930,107977815.7,18.49743635,6094446.27,0.056441652
600015.SH,华夏银行,20110630,114076849.2,18.55238289,5880550.87,0.05154903
600015.SH,华夏银行,20110331,112244255.9,18.53618791,3720276.94,0.033144475
600015.SH,华夏银行,20101231,104023044.2,18.46012301,3549588.02,0.034123093
600015.SH,华夏银行,20100930,101079066.5,18.43141361,3417604.2,0.033811197
600015.SH,华夏银行,20100630,94169574.94,18.3606077,3266287.61,0.034685169
600015.SH,华夏银行,20100331,89150994.51,18.30584206,3158769.4,0.035431679
600015.SH,华夏银行,20091231,84545643.24,18.2528021,3023418.52,0.035760784
600015.SH,华夏银行,20090930,82363167.39,18.2266489,2911923.9,0.035354686
600015.SH,华夏银行,20090630,80053038.09,18.19819995,2815787.73,0.035174027
600015.SH,华夏银行,20090331,75772712.97,18.1432488,2797453.39,0.036919008
600015.SH,华夏银行,20081231,73163718.65,18.10821021,2742135.69,0.037479447
600015.SH,华夏银行,20080930,65262336.07,17.99392564,1575628.73,0.024143002
600015.SH,华夏银行,20080630,62814610.36,17.95569825,1448189.8,0.023054983
600015.SH,华夏银行,20080331,59796804,17.90646277,1385104.41,0.023163519
600015.SH,华夏银行,20071231,59233827.45,17.89700335,1305562.75,0.02204083
600015.SH,华夏银行,20070930,52961929.19,17.7850839,1262967.09,0.023846697
600015.SH,华夏银行,20070630,48102125.89,17.68883693,1201485.15,0.024977797
600015.SH,华夏银行,20070331,42411285.23,17.56292505,1196841.03,0.028219872
600015.SH,华夏银行,20061231,44505342.43,17.61111979,1164279.51,0.026160444
600015.SH,华夏银行,20060930,39719997.08,17.49736532,1124708.06,0.028315915
600015.SH,华夏银行,20060630,39168407.02,17.48338104,1074244.08,0.02742629
600015.SH,华夏银行,20060331,36237066.57,17.40559309,1084570.31,0.029929859
600015.SH,华夏银行,20051231,35592147.23,17.38763559,1053082.19,0.029587487
600015.SH,华夏银行,20050930,33349169.73,17.32254343,1027252.36,0.030802937
600015.SH,华夏银行,20050630,32393698.31,17.29347447,982883.91,0.030341825
600015.SH,华夏银行,20050331,29841978.88,17.21142665,992106.83,0.033245343
600015.SH,华夏银行,20041231,30432573.61,17.23102409,960899.5,0.031574704
600015.SH,华夏银行,20040930,27615341.49,17.13388203,938322.68,0.033978312
600015.SH,华夏银行,20040630,26564395.81,17.09508237,908742.71,0.034209049
600015.SH,华夏银行,20040331,24113859.53,16.99829732,889400.21,0.036883362
600015.SH,华夏银行,20031231,24682878.7,17.02162039,862707.74,0.034951666
600015.SH,华夏银行,20030930,21706667.75,16.89313004,972182.73,0.044787286
600015.SH,华夏银行,20030630,20365389.85,16.82934744,399655.92,0.019624271
600015.SH,华夏银行,20021231,17814649.49,16.69553168,360136.93,0.020215774
600015.SH,华夏银行,20011231,13504966.57,16.41856807,209583.56,0.015518999
600015.SH,华夏银行,20001231,9983323.69,16.11642663,145557.67,0.014580081
600016.SH,民生银行,20140930,376934100,19.74758093,24080300,0.063884642
600016.SH,民生银行,20140630,357145100,19.6936527,22929900,0.064203317
600016.SH,民生银行,20140331,328211900,19.60916999,21788100,0.066384247
600016.SH,民生银行,20131231,322621000,19.59198882,20428700,0.063321049
