stockid,stockname,date,close,stockvalue
600016.SH,民生银行,20071019,7.1166,2.28625E+11
600016.SH,民生银行,20071022,6.9679,2.23847E+11
600016.SH,民生银行,20071023,7.2293,2.32245E+11
600016.SH,民生银行,20071024,7.1752,2.30507E+11
600016.SH,民生银行,20071025,6.9453,2.23123E+11
600016.SH,民生银行,20071026,7.2699,2.33548E+11
600016.SH,民生银行,20071029,7.5177,2.41511E+11
600016.SH,民生银行,20071030,7.5808,2.43538E+11
600016.SH,民生银行,20071031,7.6575,2.46E+11
600016.SH,民生银行,20071101,7.6394,2.45421E+11
600016.SH,民生银行,20071102,7.3915,2.37457E+11
600016.SH,民生银行,20071105,7.378,2.37023E+11
600016.SH,民生银行,20071106,7.4862,2.40498E+11
600016.SH,民生银行,20071107,7.8377,2.51791E+11
600016.SH,民生银行,20071108,7.5718,2.43249E+11
600016.SH,民生银行,20071109,7.8918,2.53529E+11
600016.SH,民生银行,20071112,7.9369,2.54977E+11
600016.SH,民生银行,20071113,7.3735,2.36878E+11
600016.SH,民生银行,20071114,7.5673,2.43104E+11
600016.SH,民生银行,20071115,7.4276,2.38615E+11
600016.SH,民生银行,20071116,7.342,2.35864E+11
600016.SH,民生银行,20071119,7.1617,2.30073E+11
600016.SH,民生银行,20071120,7.4006,2.37747E+11
600016.SH,民生银行,20071121,7.2022,2.31376E+11
600016.SH,民生银行,20071122,7.0445,2.26308E+11
600016.SH,民生银行,20071123,7.2158,2.3181E+11
600016.SH,民生银行,20071126,7.0761,2.27322E+11
600016.SH,民生银行,20071127,6.8552,2.20227E+11
600016.SH,民生银行,20071128,6.6659,2.14146E+11
600016.SH,民生银行,20071129,7.022,2.25584E+11
600016.SH,民生银行,20071130,6.8056,2.18634E+11
600016.SH,民生银行,20071203,6.8282,2.19358E+11
600016.SH,民生银行,20071204,6.8958,2.2153E+11
600016.SH,民生银行,20071205,6.9859,2.24426E+11
600016.SH,民生银行,20071206,7.0039,2.25005E+11
600016.SH,民生银行,20071207,7.0535,2.26598E+11
600016.SH,民生银行,20071210,7.0084,2.2515E+11
600016.SH,民生银行,20071211,6.8913,2.21385E+11
600016.SH,民生银行,20071212,6.8011,2.18489E+11
600016.SH,民生银行,20071213,6.6389,2.13277E+11
600016.SH,民生银行,20071214,6.7155,2.15738E+11
600016.SH,民生银行,20071217,6.3955,2.05458E+11
600016.SH,民生银行,20071218,6.4361,2.06761E+11
600016.SH,民生银行,20071219,6.5442,2.10236E+11
600016.SH,民生银行,20071220,6.6524,2.13711E+11
600016.SH,民生银行,20071221,6.6163,2.12553E+11
600016.SH,民生银行,20071224,6.7425,2.16607E+11
600016.SH,民生银行,20071225,6.6479,2.13567E+11
600016.SH,民生银行,20071226,6.5307,2.09802E+11
600016.SH,民生银行,20071227,6.6794,2.1458E+11
600016.SH,民生银行,20071228,6.6794,2.1458E+11
600016.SH,民生银行,20080102,6.7515,2.16898E+11
600016.SH,民生银行,20080103,6.6839,2.14726E+11
600016.SH,民生银行,20080104,6.7651,2.17333E+11
600016.SH,民生银行,20080107,6.9003,2.21676E+11
600016.SH,民生银行,20080108,6.9408,2.22979E+11
600016.SH,民生银行,20080109,6.9724,2.23993E+11
600016.SH,民生银行,20080110,6.9904,2.24572E+11
600016.SH,民生银行,20080111,7.3104,2.34852E+11
600016.SH,民生银行,20080114,7.2653,2.33404E+11
