stockid,stockname,year,quarter,rf,SV,sigma_SV,AV,sigma_AV,DP,DD,EDF
600015,华夏银行,2009,3,0.008055,55953653760,0.228695452,8.30E+11,0.01541475,7.80E+11,3.883316169,5.15E-05
600015,华夏银行,2009,4,0.008055,57994096640,0.170811906,8.51E+11,0.011635988,8.00E+11,5.206696183,9.61E-08
600015,华夏银行,2010,1,0.008055,56990973952,0.172720164,8.92E+11,0.011033832,8.42E+11,5.103560926,1.67E-07
600015,华夏银行,2010,2,0.008055,57954172928,0.203182846,9.44E+11,0.012473528,8.93E+11,4.313103195,8.05E-06
600015,华夏银行,2010,3,0.008055,57719816192,0.124979615,1.01E+12,0.007126506,9.62E+11,6.931163708,2.09E-12
600015,华夏银行,2010,4,0.0065625,59343110144,0.19695662,1.04E+12,0.011227977,9.88E+11,4.524289304,3.03E-06
600015,华夏银行,2011,1,0.0075,58122444800,0.141261578,1.12E+12,0.007322877,1.07E+12,6.104320387,5.16E-10
600015,华夏银行,2011,2,0.008125,77028769792,0.15191859,1.13E+12,0.010316327,1.07E+12,5.845378736,2.53E-09
600015,华夏银行,2011,3,0.00875,71901044736,0.170493901,1.07E+12,0.011479806,1.00E+12,5.15130669,1.29E-07
600015,华夏银行,2011,4,0.00875,74965680128,0.137063876,1.23E+12,0.008347817,1.17E+12,6.307209953,1.42E-10
600015,华夏银行,2012,1,0.00875,78178992128,0.113354705,1.24E+12,0.007152921,1.17E+12,7.670751909,8.55E-15
600015,华夏银行,2012,2,0.008125,70116810752,0.110598654,1.33E+12,0.005823122,1.27E+12,7.71448102,6.07E-15
600015,华夏银行,2012,3,0.0075,59171094528,0.111370593,1.41E+12,0.004659883,1.37E+12,7.431093711,5.39E-14
600015,华夏银行,2012,4,0.0075,60111396864,0.147186086,1.46E+12,0.006070429,1.41E+12,5.60512574,1.04E-08
600015,华夏银行,2013,1,0.0075,74673020928,0.202164426,1.50E+12,0.010070475,1.44E+12,4.236154522,1.14E-05
600015,华夏银行,2013,2,0.0075,70478872576,0.158638209,1.48E+12,0.007567832,1.42E+12,5.3563443,4.25E-08
600015,华夏银行,2013,3,0.0075,62738886656,0.162130937,1.51E+12,0.006717732,1.46E+12,5.093641981,1.76E-07
600015,华夏银行,2013,4,0.0075,70332088320,0.139656663,1.64E+12,0.005995411,1.58E+12,5.958662803,1.27E-09
600015,华夏银行,2014,1,0.0075,72376328192,0.146111146,1.70E+12,0.006232572,1.64E+12,5.687749231,6.44E-09
600015,华夏银行,2014,2,0.0075,74553761792,0.092839636,1.74E+12,0.003982978,1.68E+12,8.96225751,1.59E-19
600015,华夏银行,2014,3,0.0075,74611326976,0.100102305,1.74E+12,0.004302768,1.67E+12,8.31536809,4.57E-17
600016,民生银行,2000,4,0.005625,30440828928,0.114619769,92155188874,0.03786136,62062481408,8.624725059,3.21E-18
600016,民生银行,2001,1,0.005625,29630177280,0.122166544,1.04E+11,0.034892575,74529611776,8.070057193,3.51E-16
600016,民生银行,2001,2,0.005625,33653471232,0.092912957,1.28E+11,0.02451033,94448787456,10.59333091,1.60E-26
600016,民生银行,2001,3,0.005625,30277615616,0.159036174,1.42E+11,0.033963019,1.12E+11,6.157258579,3.70E-10
600016,民生银行,2001,4,0.005625,32066494464,0.161760494,1.65E+11,0.031476728,1.33E+11,6.037643753,7.82E-10
600016,民生银行,2002,1,0.00495,29640783872,0.196897253,1.65E+11,0.035377035,1.36E+11,4.96372514,3.46E-07
600016,民生银行,2002,2,0.00495,28508030976,0.176278263,2.18E+11,0.023068141,1.90E+11,5.485885755,2.06E-08
600016,民生银行,2002,3,0.00495,32300589056,0.107076012,2.41E+11,0.014333682,2.10E+11,9.03930685,7.88E-20
600016,民生银行,2002,4,0.00495,27920476160,0.096810549,2.67E+11,0.010123162,2.40E+11,9.890520486,2.29E-23
600016,民生银行,2003,1,0.00495,26600271872,0.159410968,2.74E+11,0.015500598,2.48E+11,5.984088661,1.09E-09
600016,民生银行,2003,2,0.00495,36465545216,0.222495481,3.58E+11,0.022662542,3.23E+11,4.297807752,8.62E-06
600016,民生银行,2003,3,0.00495,31759429632,0.127729505,3.82E+11,0.0106259,3.52E+11,7.400896749,6.76E-14
600016,民生银行,2003,4,0.00495,29764796416,0.140854746,2.86E+11,0.014659044,2.58E+11,6.796229376,5.37E-12
600016,民生银行,2004,1,0.00495,40793862144,0.199032471,3.77E+11,0.021555768,3.38E+11,4.819031332,7.21E-07
600016,民生银行,2004,2,0.00495,37951561728,0.169810236,4.03E+11,0.015974315,3.67E+11,5.607508343,1.03E-08
600016,民生银行,2004,3,0.00495,34419458048,0.147126973,4.19E+11,0.012100359,3.86E+11,6.420485156,6.79E-11
600016,民生银行,2004,4,0.005625,30529587200,0.13434653,3.10E+11,0.013213082,2.81E+11,7.058510819,8.41E-13
600016,民生银行,2005,1,0.005625,28939425792,0.192580163,3.27E+11,0.017033056,3.00E+11,4.890762811,5.02E-07
600016,民生银行,2005,2,0.005625,29885292544,0.163129151,3.62E+11,0.013452578,3.34E+11,5.745377565,4.59E-09
600016,民生银行,2005,3,0.005625,33302577152,0.147742748,3.82E+11,0.01288344,3.51E+11,6.368864675,9.52E-11
600016,民生银行,2005,4,0.005625,29216135168,0.116281033,5.63E+11,0.006031677,5.37E+11,7.713160962,6.14E-15
